Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=F24F1EFF620E9FE609D4BF9B691BF937?SERIES_KEY=120.EXR.M.USD.EUR.SP00.A
,EXR.M.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
2018Mar,1.2336
2018Feb,1.2348
2018Jan,1.2200
2017Dec,1.1836
2017Nov,1.1738
2017Oct,1.1756
2017Sep,1.1915
2017Aug,1.1807
2017Jul,1.1511
2017Jun,1.1229
2017May,1.1058
2017Apr,1.0723
2017Mar,1.0685
2017Feb,1.0643
2017Jan,1.0614
2016Dec,1.0543
2016Nov,1.0799
2016Oct,1.1026
2016Sep,1.1212
2016Aug,1.1212
2016Jul,1.1069
2016Jun,1.1229
2016May,1.1311
2016Apr,1.1339
2016Mar,1.1100
2016Feb,1.1093
2016Jan,1.0860
2015Dec,1.0877
2015Nov,1.0736
2015Oct,1.1235
2015Sep,1.1221
2015Aug,1.1139
2015Jul,1.0996
2015Jun,1.1213
2015May,1.1150
2015Apr,1.0779
2015Mar,1.0838
2015Feb,1.1350
2015Jan,1.1621
2014Dec,1.2331
2014Nov,1.2472
2014Oct,1.2673
2014Sep,1.2901
2014Aug,1.3316
2014Jul,1.3539
2014Jun,1.3592
2014May,1.3732
2014Apr,1.3813
2014Mar,1.3823
2014Feb,1.3659
2014Jan,1.3610
2013Dec,1.3704
2013Nov,1.3493
2013Oct,1.3635
2013Sep,1.3348
2013Aug,1.3310
2013Jul,1.3080
2013Jun,1.3189
2013May,1.2982
2013Apr,1.3026
2013Mar,1.2964
2013Feb,1.3359
2013Jan,1.3288
2012Dec,1.3119
2012Nov,1.2828
2012Oct,1.2974
2012Sep,1.2856
2012Aug,1.2400
2012Jul,1.2288
2012Jun,1.2526
2012May,1.2789
2012Apr,1.3162
2012Mar,1.3201
2012Feb,1.3224
2012Jan,1.2905
2011Dec,1.3179
2011Nov,1.3556
2011Oct,1.3706
2011Sep,1.3770
2011Aug,1.4343
2011Jul,1.4264
2011Jun,1.4388
2011May,1.4349
2011Apr,1.4442
2011Mar,1.3999
2011Feb,1.3649
2011Jan,1.3360
2010Dec,1.3220
2010Nov,1.3661
2010Oct,1.3898
2010Sep,1.3067
2010Aug,1.2894
2010Jul,1.2770
2010Jun,1.2209
2010May,1.2565
2010Apr,1.3406
2010Mar,1.3569
2010Feb,1.3686
2010Jan,1.4272
2009Dec,1.4614
2009Nov,1.4914
2009Oct,1.4816
2009Sep,1.4562
2009Aug,1.4268
2009Jul,1.4088
2009Jun,1.4016
2009May,1.3650
2009Apr,1.3190
2009Mar,1.3050
2009Feb,1.2785
2009Jan,1.3239
2008Dec,1.3449
2008Nov,1.2732
2008Oct,1.3322
2008Sep,1.4370
2008Aug,1.4975
2008Jul,1.5770
2008Jun,1.5553
2008May,1.5557
2008Apr,1.5751
2008Mar,1.5527
2008Feb,1.4748
2008Jan,1.4718
2007Dec,1.4570
2007Nov,1.4684
2007Oct,1.4227
2007Sep,1.3896
2007Aug,1.3622
2007Jul,1.3716
2007Jun,1.3419
2007May,1.3511
2007Apr,1.3516
2007Mar,1.3242
2007Feb,1.3074
2007Jan,1.2999
2006Dec,1.3213
2006Nov,1.2881
2006Oct,1.2611
2006Sep,1.2727
2006Aug,1.2811
2006Jul,1.2684
2006Jun,1.2650
2006May,1.2770
2006Apr,1.2271
2006Mar,1.2020
2006Feb,1.1938
2006Jan,1.2103
2005Dec,1.1856
2005Nov,1.1786
2005Oct,1.2015
2005Sep,1.2256
2005Aug,1.2292
2005Jul,1.2037
2005Jun,1.2165
2005May,1.2694
2005Apr,1.2938
2005Mar,1.3201
2005Feb,1.3014
2005Jan,1.3119
2004Dec,1.3408
2004Nov,1.2991
2004Oct,1.2490
2004Sep,1.2218
2004Aug,1.2176
2004Jul,1.2266
2004Jun,1.2138
2004May,1.2007
2004Apr,1.1985
2004Mar,1.2262
2004Feb,1.2646
2004Jan,1.2613
2003Dec,1.2286
2003Nov,1.1702
2003Oct,1.1692
2003Sep,1.1222
2003Aug,1.1139
2003Jul,1.1372
2003Jun,1.1663
2003May,1.1582
2003Apr,1.0848
2003Mar,1.0807
2003Feb,1.0773
2003Jan,1.0622
2002Dec,1.0183
2002Nov,1.0014
2002Oct,0.9811
2002Sep,0.9808
2002Aug,0.9778
2002Jul,0.9922
2002Jun,0.9554
2002May,0.9170
2002Apr,0.8858
2002Mar,0.8758
2002Feb,0.8700
2002Jan,0.8833
2001Dec,0.8924
2001Nov,0.8883
2001Oct,0.9059
2001Sep,0.9111
2001Aug,0.9005
2001Jul,0.8607
2001Jun,0.8532
2001May,0.8742
2001Apr,0.8920
2001Mar,0.9095
2001Feb,0.9217
2001Jan,0.9383
2000Dec,0.8973
2000Nov,0.8564
2000Oct,0.8552
2000Sep,0.8721
2000Aug,0.9041
2000Jul,0.9397
2000Jun,0.9492
2000May,0.9060
2000Apr,0.9470
2000Mar,0.9643
2000Feb,0.9834
2000Jan,1.0137
1999Dec,1.0110
1999Nov,1.0338
1999Oct,1.0706
1999Sep,1.0501
1999Aug,1.0604
1999Jul,1.0353
1999Jun,1.0378
1999May,1.0628
1999Apr,1.0704
1999Mar,1.0883
1999Feb,1.1208
1999Jan,1.1608